Cluster ID,confidence_score,﻿convenio;cnpj;cod_ans,canonical_convenio,canonical_cnpj,canonical_cod_ans
1151,,"A DEFINIR;;""999999""",,,
75,0.9915875,"A I S ASSISTENCIA ODONTOLOGICA REUNIDA S/C LTDA;""43363241000108"";""344818""",b'a i s assistencia odontologica reunida s/c ltda',b'43363241000108',b'344818'
75,0.9915875,"A I S ASSISTENCIA ODONTOLOGICA REUNIDA S/C LTDA.;""43363241000108"";""344818""",b'a i s assistencia odontologica reunida s/c ltda',b'43363241000108',b'344818'
1152,,"A.M.M.P;;""10""",,,
1153,,"A.M.R. ( OESTE );""71.737.001/0001-61"";""414298""",,,
1154,,"AAFBB;;""999999""",,,
1155,,"AASMED;"""";""222222""",,,
1156,,"AAUG BRASIL;""84835552000100"";""402753""",,,
1157,,"ABAAB;""12.034.177/0001-98"";""318359""",,,
1158,,"ABAS;;""000000""",,,
1159,,"ABAS 15;""02030246000131 "";""304131""",,,
1160,,"ABBRACCIO;""05575533000115"";""000000""",,,
1161,,"ABC;;""999999""",,,
1162,,"ABEB;""17505793000101 "";""314668""",,,
1163,,"ABEM; 03819843000102 ;""411981""",,,
1164,,"ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASI;""17.505.793/0001-01"";""314668""",,,
76,0.97299826,"ABESP ASSISTENCIA M?DICA LTDA. ;?69262764000151 ;""401501""",b'abesp assistencia m?dica ltda.',b'?69262764000151',b'401501'
76,0.97299826,"ABESP ASSISTENCIA MÉDICA LTDA.; 69262764000151 ;""401501""",b'abesp assistencia m?dica ltda.',b'?69262764000151',b'401501'
1165,,"ABET;""63089205000105 "";""338915""",,,
1166,,"ABET - Alergista ;""63089205000105 "";""338915""",,,
77,0.9446253,"ABET CORPORATE;;""338915""",b'abet corporate',b'63.089.205/0001-05',b'338915'
77,0.9446253,"ABET CORPORATE;""63.089.205/0001-05"";""338915""",b'abet corporate',b'63.089.205/0001-05',b'338915'
1167,,"ABET REEMBOLSO;"""";""000030""",,,
1168,,"Abet/Plantel Dermatologista;""63089205000105 "";""338915""",,,
1169,,"ABIMED;;""999999""",,,
1170,,"ABMED CONVENIO MEDICO HOSPITALAR LTDA;""48776777000179"";""000000""",,,
1171,,"ABP IURD; 03124614000173 ;""410454""",,,
1172,,"ABRA-SAÚDE = SINAM;"""";""000102""",,,
1173,,"Abraco;"""";""111111""",,,
1174,,"ABRAS - PARCERIA;""13.185.221/0001-23"";-",,,
1175,,"ABRASA;"""";""000000""",,,
1176,,"ABRASA - AGENCIA BRASILEIRA DE SERVIÇOS E SAÚDE;""111111111111111111"";""000000""",,,
1177,,"ABRASE REEMBOLSO;"""";""000001""",,,
1178,,"ABRASIVOS - SINDICATO DOS TRAB. IND.ABRASIVOS DE SAO PAULO;""111111111111111111"";""000000""",,,
1179,,"Abril Comunicações S/A;""111111111111111111"";""222222""",,,
88,0.9448319,"ABS ASSIST?NCIA BUCAL SERVI?OS ;?63501316000187 ;""306347""",b'abs assist?ncia bucal servi?os',b'?63501316000187',b'306347'
88,0.9448319,"ABS ASSISTÊNCIA BUCAL SERVIÇOS;""63501316000187 "";""306347""",b'abs assist?ncia bucal servi?os',b'?63501316000187',b'306347'
1180,,ACCESS;-;-,,,
1181,,"ACCESS DENTAL; 04222235000189;""414654""",,,
1182,,"ACELOR MITRAL;"""";""000000""",,,
1183,,"ACERVE;;""999999""",,,
1184,,"ACESITA; 33390170000189 ;""316814""",,,
1185,,"ACESSO;;""642038""",,,
89,0.88758147,"Acesso Saúde;""07.282.880/0004-28"";""000000""",b'acesso saude',b'07.282.880/0004-28',b'000000'
89,0.88758147,"ACESSO SAUDE;""12.908.202/0001-15"";""000000""",b'acesso saude',b'07.282.880/0004-28',b'000000'
1186,,"Acheson;;""4""",,,
90,0.9448319,"ACIM - UNISA?DE ;?89761670000134 ;""333867""",b'acim - unisa?de',b'?89761670000134',b'333867'
90,0.9448319,"ACIM - UNISAÚDE; 89761670000134;""333867""",b'acim - unisa?de',b'?89761670000134',b'333867'
1187,,"ACIPA;;""001010""",,,
1188,,"ACISAP;;""123456""",,,
1189,,"Aclimed;"""";""111111""",,,
1190,,"ACM;""01.905.043/0001-89"";""000000""",,,
1191,,"ACRESP Associação Cultural e Recreativa dos Servidores Públicos;""58.415.852/0001-20"";-",,,
1192,,"ACSPM - associação Cabos e Soldados da Policia MIlitar de Sãp Paulo; 61.810.677/0001-8;""111111""",,,
91,0.97880226,"ADEM ASSISTENCIA DENT?RIA EMPRESARIAL SC LTDA ;?58794405000129 ;""403300""",b'adem assistencia dent?ria empresarial sc ltda',b'?58794405000129',b'403300'
91,0.97880226,"ADEM ASSISTENCIA DENTÁRIA EMPRESARIAL SC LTDA; 58794405000129;""403300""",b'adem assistencia dent?ria empresarial sc ltda',b'?58794405000129',b'403300'
1193,,"ADESG;;""999999""",,,
92,0.9741932,"ADMED ASSESSORIA E ADMINISTRA?AO ;?01035838000183 ;""318493""",b'admed assessoria e administra?ao',b'?01035838000183',b'318493'
92,0.9741932,"ADMED ASSESSORIA E ADMINISTRAÇAO; 01035838000183 ;""318493""",b'admed assessoria e administra?ao',b'?01035838000183',b'318493'
1194,,"ADMEDICO;""42780759000184 "";""384003""",,,
1195,,"ADMISSIONAL CASSI;""33.719.485/0001-27"";""346659""",,,
1196,,"ADP SYSTEMS; 47680798000123 ;""377252""",,,
